,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-07-13 00:00:00+00:00,6.32794713973999,6.32794713973999,7768326,0.5351430177688599,0.5351430177688599,13138146,13.399999618530272,13.399999618530272,243332,2.357548952102661,2.357548952102661,4019577
2011-07-14 00:00:00+00:00,6.310798168182373,6.310798168182373,6362095,0.5280860066413879,0.5280860066413879,9310893,13.350000381469728,13.350000381469728,156808,2.369576930999756,2.369576930999756,5024874
2011-07-15 00:00:00+00:00,6.259350776672363,6.259350776672363,4079720,0.5245569944381714,0.5245569944381714,3416230,13.050000190734863,13.050000190734863,750215,2.255307912826538,2.255307912826538,7212970
2011-07-18 00:00:00+00:00,6.190754890441895,6.190754890441895,4941569,0.5174999833106995,0.5174999833106995,6776548,13.25,13.25,93107,2.279365062713623,2.279365062713623,1742447
2011-07-19 00:00:00+00:00,6.173605918884277,6.173605918884277,4680161,0.5198529958724976,0.5198529958724976,3497615,13.100000381469728,13.100000381469728,99138,2.297406911849976,2.297406911849976,1810478
2011-07-20 00:00:00+00:00,6.190754890441895,6.190754890441895,6595282,0.5151479840278625,0.5151479840278625,3663037,13.0,13.0,177365,2.261322021484375,2.261322021484375,1855084
2011-07-21 00:00:00+00:00,6.122159957885742,6.122159957885742,12446423,0.5057389736175537,0.5057389736175537,12831652,12.850000381469728,12.850000381469728,391035,2.201180934906006,2.201180934906006,3822827
2011-07-22 00:00:00+00:00,5.967820167541504,5.967820167541504,9120145,0.5069149732589722,0.5069149732589722,5355253,12.699999809265137,12.699999809265137,305141,2.147053003311157,2.147053003311157,1996589
2011-07-25 00:00:00+00:00,6.139308929443359,6.139308929443359,13997043,0.5151479840278625,0.5151479840278625,8929628,12.350000381469728,12.350000381469728,747329,2.1891520023345947,2.1891520023345947,1561096
2011-07-26 00:00:00+00:00,6.190754890441895,6.190754890441895,6470137,0.5174999833106995,0.5174999833106995,11466795,12.449999809265137,12.449999809265137,944703,2.285378932952881,2.285378932952881,3752320
2011-07-27 00:00:00+00:00,6.207903861999512,6.207903861999512,8183401,0.516323983669281,0.516323983669281,9066653,12.949999809265137,12.949999809265137,1705866,2.2913930416107178,2.2913930416107178,3651948
